label,left_knee,left_hip,right_hip,right_knee
haut,172.41996740317404,171.46368418191295,173.20053670472709,176.54651707664533
haut,172.1908314189167,171.5231189263739,173.47934054349588,177.44425340601893
haut,173.18566273240538,171.67480126132486,173.1357771122401,177.87788720476533
haut,171.5670000503798,171.20642405097084,173.90383579317992,176.2447524906139
haut,170.82891864807854,170.55863802915877,173.1769331150091,176.62301510587676
haut,171.15179823436753,170.77994532870184,173.49782758184898,178.19637339266413
haut,168.60861391369002,169.37197065881696,173.8863576901201,176.60325809151735
haut,170.44373312471777,169.4282943719346,174.2281607039149,177.26722833935744
haut,170.55543036371728,168.7275394943846,175.065544310409,174.46882228117818
haut,169.93878745098084,168.41574811401222,175.38682059103644,174.51098524918078
haut,168.91425928031092,168.27783072863417,175.6156018533129,174.27247873111972
haut,167.58091951751538,166.80997639669104,175.96856224220053,172.53854738594637
haut,168.08499557749496,167.3354656739656,175.77616316463605,171.8253821672176
haut,165.28057232269288,165.56201651603376,176.99361123593027,170.46818375478261
haut,163.66448496076023,165.28046387756723,176.77939537752317,171.11467407165745
haut,163.86391620297144,165.1295921857135,177.43869100902077,170.39645927265178
haut,163.8381647966195,164.85198241718987,177.72825741270097,170.51641446388905
haut,162.3913989289042,164.019324102882,178.72373241362553,169.49107339850823
haut,158.08682154258722,162.00820446513535,178.7694198830973,169.52838877134536
haut,161.014503603288,161.79436290808812,178.4122128940821,170.04761835877355
haut,161.51438717236812,162.1014073396184,178.85562661500796,170.324662620613
haut,160.99053086492927,161.4167533083878,179.0788750415151,169.38149651710438
haut,160.47828535120902,161.0426150754595,179.71059067851598,169.22260579852679
haut,157.03422802016874,158.82295929756097,178.68496505137512,168.60827379699649
haut,153.58809718536907,156.68017485423405,178.51831702267475,166.7687855496533
haut,154.57505728339402,156.1440472280939,178.2160598735293,167.26179562038146
milieu,155.4514795496539,156.26171246961394,176.84391192731215,167.13370765189381
milieu,155.8178076169999,155.62405439023172,177.78024417711106,167.82984643913446
milieu,158.43222148747793,156.57511059775103,176.97833710591868,167.17822093033215
milieu,156.1073725077681,155.13569708739817,177.3864320931689,168.10875207719724
milieu,156.13197157324825,154.8638998638759,176.14396784991123,166.6765048248109
milieu,151.08798027983153,151.27192372259486,176.12853639608943,164.41030576361507
milieu,153.66974503091754,152.95884190557751,175.66418850418063,165.213383772015
milieu,152.55491087406253,151.66303539028425,174.3454608185277,166.15474987108982
milieu,151.99307752950295,150.93780891844395,173.33953387082232,166.0974345935223
milieu,151.61376520478635,149.86516571257465,174.08372301101087,167.1049907190626
milieu,148.40720917051317,146.7905524779051,172.68305818702547,165.42973592309568
milieu,149.22217680904052,147.720265434929,172.8166603900441,165.23789335591312
milieu,146.7785973026745,145.4322692511027,172.21026694397816,164.03474744231005
milieu,147.87521892045325,146.25449181720555,172.62670434014242,165.39615598234647
milieu,147.70809124308636,145.6692508201683,171.9398980394404,164.98015043540516
milieu,144.03262968419332,142.75848462644362,172.43901798961286,164.62165302792818
milieu,144.23540465520688,142.78625073869415,172.52131603056395,166.86731392343566
milieu,146.50221876283987,144.43363258516058,173.37107678240693,168.07919792043182
milieu,145.12331322085652,143.38113109833213,172.30990190221175,166.77627849459182
milieu,143.47876307593148,141.36704072249478,171.91414593967792,166.5241865329272
milieu,143.5242806422197,141.36731851143935,173.00414457306945,167.9369162908078
milieu,141.04985243634334,139.97001665514213,172.61098067105044,168.12238486963486
milieu,141.4659172765196,141.2354537718965,172.8040180433125,167.18201225440825
milieu,140.3074916280911,140.64170202873,171.85976409948006,166.87507619240307
milieu,140.0245369053144,140.72384822366496,173.3661364715162,167.52722976694054
bas,140.18979401033735,140.3783286663902,174.01594597283247,168.16036960230036
bas,137.90590351867095,137.57843435523984,173.34566841160924,168.75900848135325
bas,140.0173062874825,138.1820900894405,173.42452003314114,168.66879041998882
bas,139.79792341227065,140.09137500277873,176.4023340191024,171.0001431884479
bas,138.77905994300016,140.02745745359783,179.16146464850115,174.69452544177756
bas,138.66871827610618,139.3853013819139,177.44357584009657,173.95319621514673
bas,140.06173483480484,139.9995522938671,175.35637848511405,171.14280908164935
bas,139.2379627657443,138.51083262228812,174.27342264391555,169.669115961262
bas,138.11452811837017,137.6221019443563,175.94121195763233,170.79610577952744
bas,138.32862863346625,137.0523830914786,173.98507816683244,169.7843502098784
bas,134.92846597858167,133.77659644352164,173.8148284331061,170.9722871003219
bas,139.0677765851635,135.51577530580167,173.1681111509361,168.2644375792682
bas,136.54928109074362,134.4406183003932,173.24157678715255,169.0971262860373
bas,132.64796992296172,129.22852000215886,171.36405187964112,169.4630756116478
bas,133.58056405349595,131.0503685358347,173.42169839234643,170.5279599414507
bas,128.28366056836214,127.71737616744505,175.54977052345518,169.4909275586264
bas,128.5117116434734,127.7008453168115,175.88432021334862,169.80807388919706
bas,126.80029606295103,126.08608529618591,175.13840096847872,168.9677819159716
bas,128.11636516113575,127.92562611761365,177.5882461183343,170.5742683512978
bas,130.92726017478088,130.74162187298177,176.09475420056924,171.94546532608155
bas,126.96733109795238,126.5586360368259,175.58383521851138,170.69513438359084
bas,128.73622599099852,127.27139277031229,173.77246977071917,170.03503098224985
bas,128.65721720361464,127.77103860594208,173.41098962855222,169.93053635223467
bas,126.56039005293988,124.21670733784393,171.4362598841586,168.22301955264848
bas,123.711618542261,121.8045993010219,171.330693453393,167.79808320965876
bas,122.84367200522611,118.07980055683949,165.90334798580162,163.79747936872639
bas,122.07980977137298,116.57515667950949,164.36610457526615,162.57168496529016
bas,120.77180675988843,116.05243815056723,165.80529087358087,163.6245091508874
bas,118.31792764538925,113.55251217743574,163.65592384277355,162.3927904956159
bas,120.06530402470169,115.95699412669536,163.50113496995638,162.26084793800928
bas,117.58166413348376,113.02908570944561,164.81937694147936,163.03207246984118
bas,118.54474425213421,114.74840317088676,164.82967217954368,163.82289248881847
bas,114.43669269714484,109.00118035773025,162.7726547641294,161.74930195181324
bas,114.12137743377755,109.76359987858685,163.99543316747307,163.694985493202
bas,117.00542543327755,112.49501041067454,163.80373578836927,163.57860212761332
bas,115.94783358113875,111.53859175017224,164.16119947649605,163.55438291735396
bas,112.48120771045822,107.80630216240537,162.45094546753293,162.92953330273366
bas,115.65231543720643,110.24508566785477,163.5975627273026,164.49964892081124
bas,114.48732667882535,108.67242582242959,164.68702968609173,164.85931614542537
bas,111.73181215784152,106.46247068205841,162.9319037784741,164.0393099583528
bas,110.9958669220308,105.5554532786898,164.67282024574627,164.41092207080854
bas,111.7919226569588,105.08371351345792,162.20052120811286,162.76814962448063
bas,110.23354843730185,103.5281507753668,162.8307406748859,163.7768885001873
bas,111.25847130941281,104.88489410483724,164.06875214778154,164.6967930151549
bas,110.83132205670856,105.91515130562921,166.40848369207094,167.00897291173317
bas,109.93762380486015,104.7580386867741,167.77087592063722,168.14862594926356
bas,110.17230341919111,104.89381554657702,167.0147300821499,167.67274907275933
bas,110.98037827713557,103.42087074088928,165.99354574207544,166.73468296127882
bas,111.31236258562774,106.27525587059752,171.87521685221094,171.52857396623264
bas,110.63252856936477,105.29064465495797,167.84535539158387,168.10023861195936
bas,111.12817275613251,106.27795141681354,170.2613777943968,169.34457794651328
bas,111.11449426286121,106.03964607731928,169.82353448886525,169.37276302954356
bas,109.66096458046782,105.8539362801789,172.2717389692313,171.01775268536917
bas,109.9175531017409,104.3681995585315,166.69402591102593,167.73307688034035
bas,110.9776454123322,106.60831506776833,169.03281450653512,169.03338873487573
