label,left_knee,left_hip,right_hip,right_knee
haut,178.781367300715,169.81849455972966,169.54222419830737,177.9860148145184
haut,179.0963318650901,170.18832406908265,166.04134106404481,173.62552280101997
haut,178.4485772358038,168.56461624564412,165.61478912658885,171.49422967932597
milieu,179.55920469393598,172.09875702603796,158.43437818906935,165.6243269090517
milieu,179.49925698695864,173.57233648275445,156.1292439271328,165.53062729284744
milieu,179.05826161198965,175.69497355399494,152.62037105886463,163.4716003961653
milieu,179.33160533108799,174.09741275828753,147.97491728315887,158.75383012985736
milieu,173.00882544862756,169.4539019033346,142.78904077314667,151.29223897258976
milieu,171.35492824852483,167.99051934263392,134.94148074973228,141.98041790215282
milieu,158.28978570880616,156.21765069738552,125.6712559931724,129.6121990783458
bas,150.70159840930273,147.43971927117985,116.22795412607073,120.00024769331402
bas,142.8336194966276,139.32769962505088,102.25730979338782,107.12085620488902
bas,143.8594905048396,138.95852857581738,102.94252977575243,105.47136027427835
bas,142.00824519896912,136.10269712949616,101.1640605445076,103.49429532469706
bas,142.93317536524603,136.49329573652926,108.37947295801888,110.22200443753759
bas,158.77397764498312,154.05945767878663,109.45342812667903,113.1158628756368
milieu,169.53787495714232,164.83423532311681,121.21367325724967,125.08400170142698
milieu,174.82879397954176,171.3965914351998,132.90794505478544,136.62058114976585
milieu,176.134812583939,172.65528922473098,141.28836172230487,145.7420081821016
milieu,175.8383724792987,171.95501547849773,147.16702395438676,152.1453995555721
milieu,175.95998234820863,171.20535427678874,152.52461155578615,157.62497680828488
milieu,178.05475518904345,171.15077457677287,156.38109947216333,161.88480747673287
haut,179.56741011642075,171.1524702363936,160.6695226584148,166.39652943190444
haut,179.55954597914692,170.5041855960809,166.10527131243376,172.96689594146596
haut,178.05301218082045,171.58605443574288,167.67048849466562,177.62010148613302
haut,178.39529746287621,171.4505769602381,169.12168118942967,178.86623714775826
haut,178.2803694859685,171.16739445239966,168.56302208162154,178.2775520416682
haut,178.57025872926909,171.83719448426584,167.3314121112607,177.5796781779494
haut,179.3044970630819,169.71527582177282,168.2712840293165,177.58208352456438
haut,178.52436435683714,172.24574344805166,166.17778639724594,176.22639598436726
milieu,178.03049675537088,173.0168896573852,163.2819326944935,172.24752045871332
milieu,179.41773102238122,172.78668682784442,158.68945631568263,166.68056711975123
milieu,179.36931764512076,173.9270327129596,155.32465215406708,162.36933360775873
milieu,178.76045127937266,175.60436914311316,149.12947494429872,155.81512164138294
milieu,176.23577999916455,172.3077118431813,142.41040884241676,148.9606812343566
milieu,171.90871357963675,168.16205107380972,132.60318143622322,138.29324025885063
milieu,168.1184952138035,163.58116777956792,119.73093222530068,124.70654268165009
bas,162.19859273182226,157.13565861454737,111.66152282536711,117.23605340049487
bas,148.49628541035545,142.40688329990894,100.42393742102026,106.20920516213376
bas,131.34929008347584,124.51724242153888,93.20651294602459,98.04678878957085
bas,138.09966904408637,132.44826088122,96.75635766403217,102.25265866780089
bas,155.75815879160962,150.36964099739612,99.79750074425938,107.05671798308538
bas,167.30368297101182,163.37384719676925,110.9426780011825,116.8033317488246
milieu,173.3107554619869,168.69448428594632,126.40451303048113,130.9763985864469
milieu,176.8718348239806,172.33129433669265,137.7101041754904,142.13268235934504
milieu,177.43740534228738,172.26825494480997,144.59088586160135,149.3928015234415
milieu,177.6227992683825,171.58966720048784,151.13229699021235,154.1739553007233
milieu,178.7784728280881,170.74015367495622,156.64184698155464,161.5334684747769
haut,179.6024155631187,170.9382663191521,161.16985274061096,167.15237434256758
haut,178.6400734431213,171.0322164879844,166.5097328201663,174.6689984704783
haut,178.9724700547938,170.44535396804875,167.66700105354764,177.08519910665183
haut,179.5998601780323,170.16324529520338,167.04510607229653,174.5414091879078
haut,179.46245273017445,169.8520547362133,166.760345113354,173.1153576706159
haut,179.4468836001824,169.43272804977937,166.75391427455745,173.73883353530917
haut,179.04374302057016,169.71708249488913,166.31151141972924,173.463945869128
haut,179.31511830647267,170.86829684804914,165.15241032131726,173.39074545363613
haut,178.94862760598605,172.70653695783346,163.93469415251997,172.92882103755002
milieu,179.11018930543943,174.05342524231804,160.5086500754603,168.77493812598516
milieu,178.96732885776547,174.87228637159524,156.87110671666937,165.08235536624193
milieu,177.18012550517113,175.9260670836936,152.5087916629838,160.73445442264705
milieu,179.39950901896347,175.3501141464489,146.7522454606244,153.6426654655168
milieu,176.6074538811679,172.44269988825036,137.09596464785724,142.91032222871888
milieu,175.86073416272325,171.86391042783396,128.05952396300646,133.94365696091302
milieu,168.26476890098235,162.8619374165375,116.156893580879,120.82769695384195
bas,160.62069059175255,153.387532864919,106.5448569923034,111.48583756423787
bas,143.9129020040488,136.8958222154497,99.82500045273041,103.86382650618941
bas,143.25958858070163,135.3688162328506,103.59238470776984,106.13008636658384
bas,147.3242069862096,140.2296774205719,102.53612168200821,106.13958914318931
bas,165.11527920944914,159.11949761854973,111.0839472127224,114.4498518773977
milieu,174.19717214484467,169.21331296866694,121.14459486747451,124.94007325855829
milieu,178.62592767294058,174.21783338208132,132.1769880860777,136.3765118406881
milieu,179.0891665508453,176.27308460087045,140.32646577565387,144.11765401362203
milieu,178.52891940461436,173.92881182527006,146.11595769139225,150.21852229563495
milieu,179.56937207132344,173.16670305551622,153.63386377131494,158.22321723049362
milieu,179.62994389309344,171.59060435588768,157.90472739805995,164.45143079883758
haut,178.5013652850951,171.93228102101082,162.78942835710563,170.27244021268731
haut,177.69565404388462,171.3624804155104,167.6727265534485,176.54502935689737
haut,178.7645951017679,170.20166025041092,169.57109384526106,177.7022754164266
haut,177.86356028082776,170.67197680592037,171.38010923409237,179.5720158772179
haut,178.23832788846735,170.95382413205422,169.14189166300287,177.6173391949224
haut,177.14559260739205,171.9586246462516,169.00564914145954,177.90686236438813
haut,178.68729132054793,170.77010489306784,168.23231513298043,176.08523829730123
haut,177.391432398921,171.72610044422223,168.45733054904335,176.79519664077685
haut,176.37533843188447,172.37082335982961,167.49725025989127,175.88394002318782
haut,177.01561214115486,169.37139098852526,162.86301702399427,174.97241800045464
haut,177.00977140912673,172.64522335851052,166.97019007952053,175.9182307650129
haut,178.20479120567614,173.01879629285074,165.3152264854798,172.96971221367428
milieu,177.94248769996207,174.48134900109747,161.3001602584536,167.55384410794778
milieu,178.4330781049848,175.53937370681675,156.0928302976898,162.40258291766074
milieu,178.1465880469353,176.51723151670572,146.89765810224674,152.96553957404004
